,Div,Date,HomeTeam,AwayTeam,FTR,HTCD,ATCD,HTGD,ATGD,HTSD,ATSD,HomeRating(ELO) 0.05,AwayRating(ELO) 0.05,HomeRating(ELO) 0.1,AwayRating(ELO) 0.1,HomeRating(ELO) 0.25,AwayRating(ELO) 0.25,HomeRating(ELO) 0.4,AwayRating(ELO) 0.4,HomeRating(ELO) 0.55,AwayRating(ELO) 0.55,HomeRating(ELO) 0.7,AwayRating(ELO) 0.7,HomeRating(ELO) 0.85,AwayRating(ELO) 0.85,HomeRating(ELO) 0.9,AwayRating(ELO) 0.9,Value Diff,Attack Diff,Mid Game Diff,Defense Diff,Over Game Diff,Estadio,Arbitro,Parametro,Yellow Card/Match,Red Card/Match,% HomeWin,% AwayWin,% DrawWin,_merge
26,SP1,18/09/2010,ID006,ID002,A,0.008,0.072,0.013513513513513514,0.013513513513513514,-0.016483516483516484,0.04945054945054945,1.047625,1.05,1.0910000000000002,1.1,1.203125,1.25,1.3039999999999998,1.4,1.413875,1.55,1.553,1.7,1.7416250000000002,1.85,1.819,1.9,-452300000,-11,-12,-12,-11,Anoeta,Mateu Lahoz,r600014,"4,88","0,23",0.47038327526132406,0.2926829268292683,0.23693379790940766,both
27,SP1,18/09/2010,ID030,ID004,D,0.008,-0.032,-0.02702702702702703,0.0,0.03296703296703297,0.0,0.9975,0.9950000000000001,0.99,0.9800000000000001,0.9375,0.875,0.8400000000000001,0.68,0.6974999999999999,0.3949999999999999,0.51,0.020000000000000018,0.27749999999999997,-0.44500000000000006,0.19000000000000006,-0.6199999999999999,-58600000,-3,-1,0,-2,El Molinón,Álvarez Izquierdo,r600006,"5,73","0,38",0.536036036036036,0.22972972972972974,0.23423423423423423,both
28,SP1,19/09/2010,ID003,ID005,A,-0.048,0.088,0.06756756756756757,0.013513513513513514,0.005494505494505495,0.0,1.09975,1.0,1.1980000000000002,1.0,1.46875,1.0,1.672,1.0,1.76725,1.0,1.714,1.0,1.4717500000000001,1.0,1.342,1.0,-417700000,-1,-5,-5,-4,Vicente Calderón,Fernández Borbalán,r600005,"5,39","0,32",0.4385245901639344,0.30327868852459017,0.2581967213114754,both
29,SP1,19/09/2010,ID031,ID008,A,-0.024,0.008,0.013513513513513514,0.04054054054054054,-0.02197802197802198,0.005494505494505495,1.0,1.0950000000000002,1.0,1.1800000000000002,1.0,1.375,1.0,1.48,1.0,1.495,1.0,1.42,1.0,1.255,1.0,1.1800000000000002,-124900000,-8,-7,-5,-6,José Rico Pérez,Ramírez Domínguez,r600009,"5,14","0,34",0.5,0.25,0.25,both
30,SP1,19/09/2010,ID024,ID014,A,-0.032,-0.064,-0.08108108108108109,0.04054054054054054,-0.06593406593406594,0.01098901098901099,0.90025,1.0,0.802,1.0,0.53125,1.0,0.32799999999999996,1.0,0.23275,1.0,0.286,1.0,0.52825,1.0,0.658,1.0,-133000000,-7,-8,-6,-6,Ciutat de Valencia,Rubinos Pérez,r600000,"5,5","0,47",0.46308724832214765,0.3087248322147651,0.22818791946308725,both
31,SP1,19/09/2010,ID029,ID016,A,-0.096,0.008,0.0,0.04054054054054054,-0.027472527472527472,0.06593406593406594,0.997625,1.045125,0.991,1.081,0.953125,1.140625,0.904,1.144,0.863875,1.111375,0.853,1.063,0.891625,1.019125,0.919,1.009,-104550000,-14,-7,-3,-6,La Rosaleda,Delgado Ferreiro,r600007,"5,1","0,23",0.3893129770992366,0.3511450381679389,0.2595419847328244,both
32,SP1,19/09/2010,ID032,ID033,H,0.024,0.088,-0.05405405405405406,-0.02702702702702703,0.02197802197802198,0.016483516483516484,0.89525,0.9525,0.782,0.91,0.40625,0.8125,0.008000000000000007,0.76,-0.3722500000000002,0.7525,-0.6939999999999998,0.79,-0.9167499999999998,0.8725,-0.9620000000000003,0.91,2300000,0,0,1,-1,El Sardinero,González González,r600008,"4,74","0,22",0.4796380090497738,0.29411764705882354,0.22624434389140272,both
33,SP1,20/09/2010,ID028,ID010,D,-0.04,0.016,0.0,0.013513513513513514,-0.04945054945054945,0.005494505494505495,1.00225625,0.995,1.0081,0.98,1.03515625,0.875,1.0575999999999999,0.68,1.06125625,0.39499999999999985,1.0441,0.020000000000000073,1.01625625,-0.445,1.0081,-0.62,-2700000,0,0,0,0,Nuevo Riazor,Muñiz Fernández,r600002,"5,98","0,42",0.4801587301587302,0.25793650793650796,0.2619047619047619,both
34,SP1,21/09/2010,ID004,ID015,H,-0.024,-0.016,0.0,0.0,0.01098901098901099,-0.038461538461538464,0.99511875,0.9975,0.9809000000000001,0.99,0.88671875,0.9375,0.7184,0.84,0.4698687499999999,0.6974999999999999,0.12290000000000002,0.51,-0.35288125000000004,0.2775000000000001,-0.5470999999999999,0.18999999999999995,58300000,4,2,1,2,San Mamés,Teixeira Vitienes,r600003,"6,53","0,39",0.4421052631578947,0.3263157894736842,0.23157894736842105,both
35,SP1,21/09/2010,ID004,ID015,H,-0.024,-0.016,0.0,0.0,0.01098901098901099,-0.038461538461538464,0.99511875,0.9975,0.9809000000000001,0.99,0.88671875,0.9375,0.7184,0.84,0.4698687499999999,0.6974999999999999,0.12290000000000002,0.51,-0.35288125000000004,0.2775000000000001,-0.5470999999999999,0.18999999999999995,58300000,4,2,1,2,San Mamés,Teixeira Vitienes,r600019,"5,29","0,35",0.42920353982300885,0.29646017699115046,0.2743362831858407,both
